0.5,杭州,销售 （广电）（杭州）
0.4,杭州,客服调度员（杭州）
0.5,异地招聘,结构工程师（上市公司+独立实验室）
0.3,杭州-西湖区,（五险一金+差旅补贴）电力维保服务
0.4,杭州,司机
0.7,杭州,计量销售工程师
0.4,杭州-西湖区,档案管理员
0.6,嘉兴,大客户业务经理
0.4,嘉兴,售后技术支持工程师
0.5,杭州-滨江区,售前/售后技术支持工程师
0.7,杭州,大客户业务经理
0.4,杭州-西湖区,软件测试工程师
0.4,杭州,客户经理（电话销售）
0.6,杭州-江干区,售前工程师
0.5,绍兴,通信设计工程师
0.4,杭州-滨江区,销售经理
0.5,杭州,售前技术支持工程师
0.5,杭州,销售 （广电）（杭州）
0.4,杭州,客服调度员（杭州）
0.5,异地招聘,结构工程师（上市公司+独立实验室）
0.3,杭州-西湖区,（五险一金+差旅补贴）电力维保服务
0.4,杭州,司机
0.7,杭州,计量销售工程师
0.4,杭州-西湖区,档案管理员
0.6,嘉兴,大客户业务经理
0.4,嘉兴,售后技术支持工程师
0.5,杭州-滨江区,售前/售后技术支持工程师
0.7,杭州,大客户业务经理
0.4,杭州-西湖区,软件测试工程师
0.4,杭州,客户经理（电话销售）
0.6,杭州-江干区,售前工程师
0.5,绍兴,通信设计工程师
0.4,杭州-滨江区,销售经理
0.5,杭州,售前技术支持工程师
0.5,杭州,销售 （广电）（杭州）
0.4,杭州,客服调度员（杭州）
0.5,异地招聘,结构工程师（上市公司+独立实验室）
0.3,杭州-西湖区,（五险一金+差旅补贴）电力维保服务
0.4,杭州,司机
0.7,杭州,计量销售工程师
0.4,杭州-西湖区,档案管理员
0.6,嘉兴,大客户业务经理
0.4,嘉兴,售后技术支持工程师
0.5,杭州-滨江区,售前/售后技术支持工程师
0.7,杭州,大客户业务经理
0.4,杭州-西湖区,软件测试工程师
0.4,杭州,客户经理（电话销售）
0.6,杭州-江干区,售前工程师
0.5,绍兴,通信设计工程师
0.4,杭州-滨江区,销售经理
0.5,杭州,售前技术支持工程师
0.5,杭州,销售 （广电）（杭州）
0.4,杭州,客服调度员（杭州）
0.5,异地招聘,结构工程师（上市公司+独立实验室）
0.3,杭州-西湖区,（五险一金+差旅补贴）电力维保服务
0.4,杭州,司机
0.7,杭州,计量销售工程师
0.4,杭州-西湖区,档案管理员
0.6,嘉兴,大客户业务经理
0.4,嘉兴,售后技术支持工程师
0.5,杭州-滨江区,售前/售后技术支持工程师
0.7,杭州,大客户业务经理
0.4,杭州-西湖区,软件测试工程师
0.4,杭州,客户经理（电话销售）
0.6,杭州-江干区,售前工程师
0.5,绍兴,通信设计工程师
0.4,杭州-滨江区,销售经理
0.5,杭州,售前技术支持工程师
0.5,杭州,销售 （广电）（杭州）
0.4,杭州,客服调度员（杭州）
0.5,异地招聘,结构工程师（上市公司+独立实验室）
0.3,杭州-西湖区,（五险一金+差旅补贴）电力维保服务
0.4,杭州,司机
0.7,杭州,计量销售工程师
0.4,杭州-西湖区,档案管理员
0.6,嘉兴,大客户业务经理
0.4,嘉兴,售后技术支持工程师
0.5,杭州-滨江区,售前/售后技术支持工程师
0.7,杭州,大客户业务经理
0.4,杭州-西湖区,软件测试工程师
0.4,杭州,客户经理（电话销售）
0.6,杭州-江干区,售前工程师
0.5,绍兴,通信设计工程师
0.4,杭州-滨江区,销售经理
0.5,杭州,售前技术支持工程师
0.5,杭州,销售 （广电）（杭州）
0.4,杭州,客服调度员（杭州）
0.5,异地招聘,结构工程师（上市公司+独立实验室）
0.3,杭州-西湖区,（五险一金+差旅补贴）电力维保服务
0.4,杭州,司机
0.7,杭州,计量销售工程师
0.4,杭州-西湖区,档案管理员
0.6,嘉兴,大客户业务经理
0.4,嘉兴,售后技术支持工程师
0.5,杭州-滨江区,售前/售后技术支持工程师
0.7,杭州,大客户业务经理
0.4,杭州-西湖区,软件测试工程师
0.4,杭州,客户经理（电话销售）
0.6,杭州-江干区,售前工程师
0.5,绍兴,通信设计工程师
0.4,杭州-滨江区,销售经理
0.5,杭州,售前技术支持工程师
0.5,杭州,销售 （广电）（杭州）
0.4,杭州,客服调度员（杭州）
0.5,异地招聘,结构工程师（上市公司+独立实验室）
0.3,杭州-西湖区,（五险一金+差旅补贴）电力维保服务
0.4,杭州,司机
0.7,杭州,计量销售工程师
0.4,杭州-西湖区,档案管理员
0.6,嘉兴,大客户业务经理
0.4,嘉兴,售后技术支持工程师
0.5,杭州-滨江区,售前/售后技术支持工程师
0.7,杭州,大客户业务经理
0.4,杭州-西湖区,软件测试工程师
0.4,杭州,客户经理（电话销售）
0.6,杭州-江干区,售前工程师
0.5,绍兴,通信设计工程师
0.4,杭州-滨江区,销售经理
0.5,杭州,售前技术支持工程师
0.5,杭州,销售 （广电）（杭州）
0.4,杭州,客服调度员（杭州）
0.5,异地招聘,结构工程师（上市公司+独立实验室）
0.3,杭州-西湖区,（五险一金+差旅补贴）电力维保服务
0.4,杭州,司机
0.7,杭州,计量销售工程师
0.4,杭州-西湖区,档案管理员
0.6,嘉兴,大客户业务经理
0.4,嘉兴,售后技术支持工程师
0.5,杭州-滨江区,售前/售后技术支持工程师
0.7,杭州,大客户业务经理
0.4,杭州-西湖区,软件测试工程师
0.4,杭州,客户经理（电话销售）
0.6,杭州-江干区,售前工程师
0.5,绍兴,通信设计工程师
0.4,杭州-滨江区,销售经理
0.5,杭州,售前技术支持工程师
